BlockName(eg:OML150),CompanyName,Lease_Type,Date_Of_Award(eg:yyyy/MM/dd)
OPL705,FES,SR,1967
OPL707,FES,SR,1967
OPL722,NEW NIGERIA,PSC,2005
OPL732,CNODC,PSC,2006
OPL733,NEW NIGERIA,PSC,2005
OPL809,NEW NIGERIA,PSC,2005
OPL810,NEW NIGERIA,PSC,2005
OPL905,GAS TRANSMISSION & POWER LIMITED,PSC,2007
OPL907,AFREN GLOBAL ENERGY RESOURCES LIMITED,PSC,2005
OPL915,ORIENT PETROLEUM REFINERY LIMITED,SR,2005
OPL916,ORIENT PETROLEUM REFINERY LIMITED,SR,2005
OPL917,AFREN GLOBAL ENERGY RESOURCES LIMITED,PSC,2005
BLOCK B,MOBIL PRODUCING NIGERIA UNLIMITED,,
BLOCK B,MOBIL PRODUCING NIGERIA UNLIMITED,,
BLOCK E,TFE EP GQ,,
BLOCKB,MOBIL PRODUCING NIGERIA UNLIMITED,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
CONCESSION II,JEREZ ENERGY INC,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML1,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML101,MOBIL PRODUCING NIGERIA UNLIMITED,,
OML101,MOBIL PRODUCING NIGERIA UNLIMITED,,
OML101,MOBIL PRODUCING NIGERIA UNLIMITED,,
OML106,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML12,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML12,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML12,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML14,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML14,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML14,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML14,UNIVERSAL ENERGY RESOURCES LIMITED,,
OML14,ASSOCIATED OIL & GAS LIMITED,,
OML14,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML23,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML39,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML44,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML44,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML46,BAYELSA OIL & GAS,,
OML48,CHEVRON NIGERIA LIMITED,,
OML5,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML5,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML50,CHEVRON NIGERIA LIMITED,,
OML54,EURAFIC ENERGY LIMITED,,
OML54,CHEVRON NIGERIA LIMITED,,
OML54,CHEVRON NIGERIA LIMITED,,
OML54,NIGER DELTA PETROLEUM RESOURCES LIMITED,,
OML54,CHEVRON NIGERIA LIMITED,,
OML56,CHORUS ENERGY,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML56,ENERGIA COMPANY LIMITED,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML56,CHORUS ENERGY,,
OML56,PILLAR OIL LIMITED,,
OML56,CHORUS ENERGY,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML56,ENERGIA COMPANY LIMITED,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML56,ENERGIA COMPANY LIMITED,,
OML56,MIDWESTERN OIL AND GAS COMPANY PLC,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML56,PILLAR OIL LIMITED,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML56,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML57,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OML69,MOBIL PRODUCING NIGERIA UNLIMITED,,
OML7,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML7,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML78,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML81,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML81,SHELL PETROLEUM DEVELOPMENT CO. OF NIG. LTD.,,
OML84,CHEVRON NIGERIA LIMITED,,
OML87,CHEVRON NIGERIA LIMITED,,
OML87,CHEVRON NIGERIA LIMITED,,
OML87,CHEVRON NIGERIA LIMITED,,
OML90,SOGENAL LIMITED,,
OPL000,OPEN ACREAGE/UNKNOWN LEASE,,
OPL118,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL143,STERLING ENERGY & EXPLORATION PRODUCTION LTD,,
OPL143,STERLING ENERGY & EXPLORATION PRODUCTION LTD,,
OPL143,STERLING ENERGY & EXPLORATION PRODUCTION LTD,,
OPL210,BRITISH PETROLEUM,,
OPL211,NIGERIAN AGIP OIL COMPANY LIMITED,,
OPL211,NIGERIAN AGIP OIL COMPANY LIMITED,,
OPL211,NIGERIAN AGIP OIL COMPANY LIMITED,,
OPL213,CHEVRON NIGERIA LIMITED,,
OPL216,STARDEEP PETROLEUM,,
OPL217,STATOIL NIGERIA LIMITED,,
OPL217,BRITISH PETROLEUM,,
OPL218,BRITISH PETROLEUM,,
OPL218,STATOIL NIGERIA LIMITED,,
OPL218,BRITISH PETROLEUM,,
OPL219,SHELL NIGERIA EXPLORATION & PRODUCTION CO. LTD.,,
OPL220,DU PONTE,,
OPL222,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL222,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL224,ORIENTAL ENERGY RESOURCES LIMITED,,
OPL224,ORIENTAL ENERGY RESOURCES LIMITED,,
OPL225,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL225,E.A. NG SERVICES,,
OPL225,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL225,OXY PETROLEUM,,
OPL225,OCCIDENTAL PET. CORP,,
OPL225,OXY PETROLEUM,,
OPL229,EMERALD ENERGY RESOURCES LIMITED,,
OPL229,JAPEX,,
OPL230,MONI PULO LIMITED,,
