Well_Name,WellType_Name,WellClass_Name,Total_Dept,SPud_Date,Remarks,Production Completed
MG-1,Not Applicable,EXP,2550,Apr 04/65,,
MIDDLETON NORTH-1,Not Applicable,EXP,3505.2,May 17/74,,
MIDDLETON-1,Not Applicable,EXP,3258.6,Feb 02/66,,
MIDDLETON-10,Not Applicable,ORD APP,2050,Jul 14/75,,
MIDDLETON-11,Oil Producer,DEV,2917,May 04/79,,
MIDDLETON-12,Oil Producer,DEV,2750,Jul 24/91,,
MIDDLETON-13,Not Applicable,ORD APP,2530,Dec 14/98,,
MIDDLETON-1R,Not Applicable,RELIEF,3008,Apr 06/66,,
MIDDLETON-2,Not Applicable,EXP,3594.2,Apr 29/71,,
MIDDLETON-3,Not Applicable,ORD APP,2592.3,Oct 04/72,,
MIDDLETON-4,Not Applicable,ORD APP,365.8,Mar 20/73,,
MIDDLETON-4A,Not Applicable,ORD APP,3505.2,Mar 29/73,,
MIDDLETON-5,Oil Producer,DEV,1773.9,Mar 08/74,,
MIDDLETON-6,Oil Producer,DEV,2109.2,Mar 27/74,,
MIDDLETON-7,Oil Producer,DEV,3354,Jul 02/74,,
MIDDLETON-8,Oil Producer,DEV,2471.9,Jan 17/75,,
MIDDLETON-9,Oil Producer,DEV,2132.7,Apr 12/75,,
MIDIM-1,Not Applicable,EXP,2857.8,Dec 14/59,,
MIMBO-1,Not Applicable,EXP,2322,Jan 18/84,,
MIMBO-2,Not Applicable,ORD APP,2428,Apr 03/87,,
MIMBO-3,Not Applicable,ORD APP,2033,Apr 29/87,,
MIMBO-3ST1,Not Applicable,ORD APP,2591,May 21/87,,
MIMBO-4,Oil Producer,DEV,2285,Jun 02/89,,
MIMBO-5,Oil Producer,DEV,2285,May 04/89,,
MIMBO-6HST1,Oil Producer,DEV,2836,Sep 17/00,,
MIMBO-6PH,Oil Producer,DEV,2320,Sep 09/00,,
MIMBO-7HST1,Oil Producer,DEV,3228,Oct 31/00,,
MIMBO-7PH,Oil Producer,DEV,2329,Oct 22/00,,
MINA-1,Not Applicable,EXP,3359,Apr 22/85,,
MINA-2,Not Applicable,ORD APP,3063,Nov 23/85,,
MINA-3,Not Applicable,ORD APP,3281,Jul 20/86,,
MINA-4,Not Applicable,ORD APP,2858,Jan 13/91,,
MINA-5,Oil Producer,DEV,2390,Mar 22/93,,
MINA-5ST1,Oil Producer,DEV,3213,Apr 10/93,,
MINA-6I,Water Injector,DEV,3217,Apr 29/02,,
MINA-7H,Oil Producer,DEV,3346,Aug 01/02,,
MINA-8,Not Applicable,ORD APP,3259,Sep 18/02,,
MINAMA-1,Not Applicable,EXP,3439,Jan 05/67,,
MINI NTA-1,Not Applicable,EXP,3738,Feb 13/86,,
MINI NTA-2,Not Applicable,ORD APP,3174,Jun 12/88,,
MINI NTA-3,Not Applicable,ORD APP,3596,Oct 21/88,,
MINI NTA-4,Oil Producer,DEV,3016,Jul 21/96,,
MINI NTA-5,Oil Producer,DEV,3178,Nov 01/96,,
MINI NTA-6,Oil Producer,DEV,3109,Jan 27/02,,
MINI NTA-7,Oil Producer,DEV,3168,Feb 23/02,,
MINI NTA-8,Oil Producer,DEV,2826,Mar 21/02,,
MINI NTA-9,Oil Producer,DEV,2876,Apr 07/02,,
MIRIEGBE-1,Not Applicable,EXP,3205,Oct 24/58,,
MISTY B1,Not Applicable,EXP,5031,Jul 10/00,,
MNN-1,Not Applicable,EXP,2133.6,Jan 16/68,,
MO-1,Not Applicable,EXP,2485,Dec 04/65,,
MOBAZI-1,Not Applicable,EXP,2514.3,Dec 27/65,,
MOLUME-1,Not Applicable,EXP,2774,Jan 06/79,,
MOSOGAR-1,Not Applicable,EXP,1068,Sep 20/74,,
MOSOGAR-2,Not Applicable,EXP,3852,Oct 17/74,,
MOYOM-1,Not Applicable,EXP,2661,Nov 24/90,,
MPP-1,Not Applicable,EXP,2902,Feb 03/68,,
MTT-1,Not Applicable,EXP,1646.2,Mar 22/68,,
MURSHE-1,Not Applicable,EXP,3929,Jan 16/88,,
MW-1,Not Applicable,EXP,2929.4,Oct 30/66,,
MXX-1,Not Applicable,EXP,1372.5,May 16/68,,
MZ-1,Not Applicable,EXP,1898,Jan 03/67,,
MZ-2,Not Applicable,ORD APP,2436,Jun 19/67,,
MZ-3,Not Applicable,ORD APP,1524.6,May 09/68,,
NANA CREEK-1,Not Applicable,EXP,3200.4,Sep 29/70,,
NASARA-A,Not Applicable,EXP,1905,Apr 07/00,,
NDA WEST-1,Not Applicable,ORD APP,336,Dec 05/06,,
NDA WEST-2,Not Applicable,ORD APP,500,Dec 01/06,,
NDA WEST-2ST1,Not Applicable,ORD APP,500,,,
NDA-1,Not Applicable,EXP,3237,Jun 23/04,,
