Field_Name,Block_Name,Zone_Name
MANUSO,OML 61,
MATSOGO,OML 56,
MBAIYAK,OML 67,
MBARA,OML100,
MBEDE,OML 61,
MBO,OML14,
MBUOTIDEM,OML 101,
MCC,OML 102,
MEFA,OML 90,
MEJI,OML 90,
MEJO,OML 49,
MEREN,OML 95,
MEREN NORTH,OML 95,
MESAN,OML 90,
META,OML 95,
MFEM,OML 67,
MFEM SE,OML 67,
MIDDLETON,OML 88,
MIMBO,OML 123,
MINA,OML 95,
MINI NTA,OML 22,
MOBAZI,OML 11,
MOSOGAR,OML 38,
NDA,OML 126 / OML 137,
NEDUM,OML 95,
NEMBE CREEK,OML 29,
NEMBE CREEK EAST,OML 29,
NEMOMAI,OML 5,
NGBOKO,OML 11,
NGOLO,OML 135,
NIMBE S,OML 63,
NJABA,OML 124,
NKALI,OML 17,
NKARIKA,OML 100,
NKELU,OML 126 / OML 137,
NKISA,OML 21,
NKOP,OML 70,
NKUKU,OML 70,
NNWA,OML 129,
NORTH APOI,OML 86,
NORTH CHIOMA,OML 88,
NORTH EFFIAT,OML 114,
NORTH ORON,OML 123,
NSIKO,OML 140,
NSIMBO,OML 70,
NSISONG,OML 102,
NSUNG,OML 67,
NTURUKPUM,OML 114,
NUGU,OML 38,
NUN RIVER,OML 32,
NUN RIVER DEEP,OML 32,
NWANA,OML 104,
OBAGI,OML 58,
OBAGI DEEP,OML 58,
OBAMA,OML 63,
OBAMA DEEP,OML 63,
OBE,OML 110,
OBEAJA,OML 11,
OBEAKPU,OML 11,
OBELE,OML22,
OBEN,OML 4,
OBERAN,OML 134,
OBIAFU,OML 61,
OBRIKOM,OML 61,
OBI-ANYIMA,OML 5,
OBIGBO,OML 11,
OBIGBO NORTH,OML 17,
OBIO,OML 114,
OBIRA,OML 89,
OBODUGWA,OML 56,
OBOKUN,OML 89,
OBONG,OML 67,
OBOTE,O ML 42,
OBRA,OML59,
OBU,OML 70,
OBU NORTH,OML 70,
OBU SOUTH WEST,OML 70,
OBUTORU,OML 63,
OBUZO,OML 11,
ODAGWA,OML 17,
ODEAMA CREEK,OML 29,
ODIDI,OML 42,
ODON,OML 35,
ODORO IKOT,OML 11,
ODUDU,OML 100,
ODUDU SOUTH,OML 100,
ODUGRI,OML 60,
ODUM,OML 137,
OFA,OML 30,
OFA,OML 30,
OFEMINI,OML 11,
OFON,OML 102,
OFRIMA,OML 126 / OML 137,
OGAGU,OML 86,
OGARA,OML 35,
OGARA NORTH,OML 35,
OGBAINBIRI DEEP,OML 63,
OGBAINBIRI SHALLOW,OML 63,
OGBAINBIRI - AFUO,OML 63,
OGBANABOU,OML 42,
OGBELE,OML 54,
OGBODO,OML17,
OGBOGENE,OML 61,
OGBOGENE NORTH,OML 61,
OGBOGENE WEST,OML 61,
OGBOTOBO,OML 46,
OGEDEH,OML 90,
OGHAREFE,OML 98,
OGHAREKI,OML 49,
OGINI,OML 26,
OGUALI,OML 16,
OGUDE,OML 42,
OGUME,OML 38,
OGUTA,OML 20,
OGWUAGWU,OML 21,
OHAJI SOUTH,OML 53,
OHURU,OML 11,
OJUMOLE,OML 49,
OKAGBA,OML 49,
OKAN,OML 90,
OKI,OML 1,
OKI EAST,OML 274,
OKIORI,OML 29,
OKODO,OML 125,
OKOLOMA,OML 11,
OKONO,OML 119,
OKOPORO,OML 41,
OKORO,OML 112 /OML 117,
OKOROBA,OML 29,
OKPAI,OML 60,
OKPOHO,OML 119,
OKPOKU,OML 35,
OKPOKUNOU,OML 35,
OKPOLO,OML 30,
OKPORHURU,OML 38,
OKPORHURU,OML 38,
OKPOSO EAST,OML 14,
OKUBIE,OML 86,
OKUBOTIN,OML 31,
OKUK,OML 104,
OKUK-AWAWA,OML 104,
OKWEFE,OML 38,
OKWOK,OML 67,
OKWOK SOUTH,OML 115,
OKWORI,OML 126 / OML 137,
OKWUIBOME,OML 143,
OLO,OML 58,
OLO WEST,OML 58,
OLOGBO,OML 98,
OLOIBIRI,OML 29,
OLOKUN,OML 38,
OLOMORO-OLEH,OML30,
OLOMU,OML 95,
OLOYE,OML 95,
OLUA,OML 30,
OLURE,OML 49,
OMERELU,OML 53,
OMOFEJO,OML 49,
OMOJA,OML 38,
OMOKU EAST,OML 61,
OMOKU WEST,OML 61,
OMURO,OML 49,
ONA,OML 98,
ONIKU,OML 60,
ONITE,OML 20,
ONNE,OML 11,
OPOBO NORTH,OML 11,
OPOBO SOUTH,OML 11,
OPOLO,OML 95,
OPOMOYO,OML 35,
OPUAMA,OML  40,
OPUEKEBA,OML 49,
OPUGBENE,OML 36,
OPUKUSHI,OML 35,
OPUKUSHI NORTH,OML 35,
ORE,OPL 449,
OREDO,OML 111,
ORIRI,OML 88,
OROBIRI,OML 122,
OROGHO,OML 38,
ORON,OML 123,
ORON EAST,OML 123,
ORON WEST,OML 123,
ORONI,OML 30,
ORORO,OML 95 /OML 45,
ORUBIRI,OML 18,
ORUBOU,OML 35,
OSHI,OML 61,
