105,ABURA-6,Oil Producer,4100,,11,0,Apr/15/1990,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
106,ABURA-7,Oil Producer,3853.4,,11,0,Sep/25/1992,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
107,ABURA-8,Oil Producer,3539,,11,0,May/27/1997,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
108,ABURA-9,Oil Producer,3489,,11,0,Sep/14/2003,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
109,ACHIRA-1,Not Applicable,3550,,1202,0,Mar/07/1984,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
110,ACHIRA-2,Not Applicable,3490,EX. AKPABO-1,1202,0,Jun/29/1984,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
111,ACHIRA-2ST1,Not Applicable,3738,,1202,0,Aug/07/1984,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
112,ADAGBASSA CREEK-1,Not Applicable,3516.8,,1203,0,Aug/23/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
113,ADAGBASSA CREEK-2,Not Applicable,3041.9,,1203,0,Jun/24/1974,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
114,ADAGBASSA CREEK-3,Not Applicable,3319,,1203,0,Sep/23/1975,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
115,ADAKA-1,Not Applicable,2694,,1204,0,Dec/06/1996,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
116,ADANGA ADSI-3A,Oil Producer,,,1205,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
117,ADANGA NORTH HORST-10H,Oil Producer,2889.17MD,,1206,0,11/4/2009,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
118,ADANGA NORTH HORST-11H,Oil Producer,2889.20MD,,1206,0,14/04/2009,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
119,ADANGA NORTH HORST-11HST,Oil Producer,2909.93MD,,1206,0,14/04/2009,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
120,ADANGA NORTH HORST-9H,Oil Producer,2414.63 MD,,1206,0,18/04/2009,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
121,ADANGA NORTH HORST WEST-1,Not Applicable,,,1207,0,Dec/22/2005,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
122,ADANGA NORTH HORST WEST-1ST1,Not Applicable,2500,,1207,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
123,ADANGA NORTH HORST-12H,Oil Producer,2737,,1206,0,10/4/2010,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
124,ADANGA NORTH HORST-13H,Oil Producer,2651,,1206,0,15/05/2010,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
125,ADANGA NORTH HORST-14H,Oil Producer,2799,,1206,0,10/6/2010,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
126,ADANGA NORTH HORST-15H,Oil Producer,2593,,1206,0,6/7/2010,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
127,ADANGA NORTH HORST-3A,Not Applicable,2096,,1206,0,Oct/09/2005,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
128,ADANGA NORTH HORST-4H,Oil Producer,2255,,1206,0,Nov/25/2005,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
129,ADANGA NORTH HORST-4P,Oil Producer,1292,,1206,0,Nov/22/2005,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
130,ADANGA NORTH HORST-5H,Oil Producer,2487,,1206,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
131,ADANGA NORTH HORST-5P,Oil Producer,2399,,1206,0,Oct/16/2007,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
132,ADANGA NORTH-1,Not Applicable,2134,,14,0,Oct/19/1986,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
133,ADANGA NORTH-2H,Not Applicable,1756,,14,0,Sep/04/1996,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
134,ADANGA SOUTH-10H,Oil Producer,3172,,1208,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
135,ADANGA SOUTH-10HST1,Oil Producer,2862,,1208,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
136,ADANGA SOUTH-12H,Oil Producer,3500,,1208,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
137,ADANGA SOUTH-13H,Oil Producer,2577,,1208,0,Aug/14/2007,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
138,ADANGA SOUTH-13HST1,Oil Producer,3268,,1208,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
139,ADANGA SOUTH-13HST2,Oil Producer,3075,,1208,0,N/A,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
140,ADANGA SOUTH-14H,Oil Producer,3025,,1208,0,Oct/30/2007,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
141,ADANGA SOUTH-16H,Oil Producer,3880,,1208,0,23/08/2010,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
142,ADANGA SOUTH-19H,Oil Producer,3883.15,,1208,0,9/10/2010,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
143,ADANGA SOUTH-1H,Oil Producer,2794,,1208,0,May/01/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
144,ADANGA SOUTH-2H,Oil Producer,2805,,1208,0,Apr/28/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
145,ADANGA SOUTH-3H,Oil Producer,2781,,1208,0,Jun/12/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
